day,outflow,failed,stability,stress,welfare,cap,lolr_support,pay_eff,inclusion,innovation,risk,disinter,oper
1,0.4329,0.0019,0.3013,0.6784,0.5623,19940000,0.1394,0.9696,0.706,0.568,0.2049,0.4113,0.255
2,0.4381,0.0039,0.2925,0.6819,0.562,19880180,0.1416,0.9743,0.706,0.568,0.2073,0.4162,0.255
3,0.4434,0.0059,0.284,0.6855,0.5617,19820539,0.1437,0.979,0.706,0.568,0.2098,0.4212,0.255
4,0.4485,0.0079,0.2757,0.689,0.5614,19761077,0.1459,0.9837,0.706,0.568,0.2122,0.4261,0.255
5,0.4537,0.0099,0.2678,0.6925,0.5611,19701794,0.148,0.9883,0.706,0.568,0.2147,0.431,0.255
6,0.4588,0.012,0.2601,0.696,0.5607,19642689,0.1502,0.9929,0.706,0.568,0.2172,0.4359,0.255
7,0.4639,0.0141,0.2527,0.6995,0.5604,19583761,0.1523,0.9975,0.706,0.568,0.2197,0.4407,0.255
8,0.469,0.0162,0.2457,0.7029,0.5596,19525009,0.1544,1.0,0.706,0.568,0.2222,0.4455,0.255
9,0.474,0.0184,0.2389,0.7063,0.5581,19466434,0.1565,1.0,0.706,0.568,0.2247,0.4503,0.255
10,0.4789,0.0205,0.2324,0.7097,0.5566,19408035,0.1585,1.0,0.706,0.568,0.2273,0.455,0.255
11,0.4838,0.0227,0.2263,0.713,0.5552,19349811,0.1606,1.0,0.706,0.568,0.2298,0.4596,0.255
12,0.4886,0.0249,0.2204,0.7163,0.5537,19291761,0.1626,1.0,0.706,0.568,0.2323,0.4642,0.255
13,0.4933,0.0271,0.2148,0.7195,0.5523,19233886,0.1645,1.0,0.706,0.568,0.2348,0.4687,0.255
14,0.498,0.0294,0.2095,0.7227,0.5509,19176185,0.1665,1.0,0.706,0.568,0.2374,0.4731,0.255
15,0.5026,0.0316,0.2045,0.7258,0.5495,19118656,0.1684,1.0,0.706,0.568,0.2399,0.4774,0.255
16,0.507,0.0339,0.1998,0.7289,0.5481,19061300,0.1702,1.0,0.706,0.568,0.2424,0.4817,0.255
17,0.5114,0.0362,0.1953,0.7318,0.5467,19004116,0.172,1.0,0.706,0.568,0.2449,0.4858,0.255
18,0.5157,0.0385,0.1911,0.7348,0.5454,18947104,0.1738,1.0,0.706,0.568,0.2474,0.4899,0.255
19,0.5199,0.0408,0.1871,0.7376,0.544,18890262,0.1756,1.0,0.706,0.568,0.2498,0.4939,0.255
20,0.5239,0.0431,0.1834,0.7404,0.5427,18833592,0.1773,1.0,0.706,0.568,0.2523,0.4977,0.255
21,0.5279,0.0455,0.1799,0.7431,0.5414,18777091,0.1789,1.0,0.706,0.568,0.2547,0.5015,0.255
22,0.5317,0.0478,0.1766,0.7457,0.5401,18720760,0.1805,1.0,0.706,0.568,0.2572,0.5051,0.255
23,0.5354,0.0502,0.1736,0.7482,0.5389,18664597,0.182,1.0,0.706,0.568,0.2596,0.5086,0.255
24,0.539,0.0526,0.1707,0.7506,0.5377,18608604,0.1835,1.0,0.706,0.568,0.262,0.512,0.255
25,0.5424,0.055,0.168,0.7529,0.5365,18552778,0.1849,1.0,0.706,0.568,0.2643,0.5153,0.255
