run,shock,digital,concentration,fail_prob,welfare
0,0.674,0.9021,0.7917,0.3547,0.5219
1,0.6751,0.9151,0.7067,0.3443,0.5255
2,0.8093,0.9152,0.7849,0.3954,0.5139
3,0.6992,0.8735,0.707,0.3433,0.519
4,0.79,0.9092,0.7677,0.3879,0.5146
5,0.7874,0.9201,0.7967,0.3922,0.5156
6,0.7952,0.8876,0.7601,0.385,0.5118
7,0.6717,0.9304,0.7442,0.3528,0.5264
8,0.7363,0.9109,0.7717,0.374,0.5184
9,0.6742,0.9102,0.7943,0.3569,0.5226
10,0.8051,0.9077,0.7992,0.3949,0.513
11,0.7372,0.9542,0.6958,0.3719,0.525
12,0.6923,0.9644,0.713,0.3624,0.5292
13,0.6831,0.941,0.704,0.3529,0.5276
14,0.801,0.9227,0.8085,0.397,0.515
15,0.8268,0.9286,0.7915,0.4015,0.5145
16,0.7975,0.9613,0.732,0.3932,0.5212
17,0.7178,0.8847,0.7478,0.3594,0.5174
18,0.6998,0.9089,0.7118,0.3528,0.5225
19,0.7599,0.8967,0.7951,0.3813,0.5145
20,0.794,0.9185,0.7455,0.3877,0.5159
21,0.6779,0.888,0.797,0.3537,0.5199
22,0.7702,0.9676,0.7214,0.3865,0.5238
23,0.7376,0.9528,0.701,0.3725,0.5247
24,0.7822,0.948,0.743,0.389,0.5203
25,0.7358,0.9181,0.7129,0.3669,0.5206
26,0.8046,0.9389,0.7358,0.3921,0.5179
27,0.7602,0.8892,0.7257,0.3707,0.5151
28,0.7298,0.9377,0.7373,0.3724,0.5227
29,0.7858,0.9289,0.6905,0.3803,0.5187
30,0.6805,0.9571,0.7051,0.3558,0.5296
31,0.6795,0.9515,0.7868,0.3662,0.527
32,0.7298,0.9272,0.7227,0.3683,0.5218
33,0.7639,0.9034,0.8073,0.3851,0.5148
34,0.7858,0.8924,0.7398,0.3806,0.5134
35,0.8165,0.8985,0.8004,0.3964,0.5111
36,0.6895,0.8946,0.765,0.3544,0.5204
37,0.8276,0.9053,0.6926,0.3876,0.5131
38,0.8103,0.8918,0.7573,0.389,0.5114
39,0.7473,0.9234,0.7003,0.3697,0.5206
40,0.7166,0.9187,0.8082,0.3744,0.5199
41,0.7689,0.9177,0.7896,0.3865,0.5166
42,0.8153,0.8802,0.7017,0.3815,0.5107
43,0.7546,0.8882,0.7635,0.3741,0.5146
44,0.7308,0.9451,0.7359,0.3738,0.5235
45,0.7879,0.9346,0.7994,0.3947,0.5174
46,0.7412,0.9153,0.7496,0.3733,0.519
47,0.7797,0.919,0.7477,0.3844,0.5168
48,0.7553,0.8794,0.7289,0.3678,0.5143
49,0.7555,0.9382,0.7052,0.3756,0.5216
50,0.6912,0.9192,0.7376,0.3561,0.5237
51,0.809,0.8959,0.7515,0.3886,0.5121
52,0.677,0.9547,0.7683,0.3634,0.528
53,0.7672,0.9089,0.6918,0.3717,0.5177
54,0.7504,0.8717,0.7395,0.3662,0.5136
55,0.7584,0.9422,0.6996,0.3764,0.522
56,0.7085,0.8925,0.761,0.3599,0.5187
57,0.7484,0.9308,0.7606,0.3796,0.5201
58,0.7654,0.8705,0.6959,0.3642,0.5133
59,0.7467,0.9068,0.7527,0.3738,0.5175
60,0.709,0.9563,0.7662,0.3735,0.5258
61,0.7305,0.9114,0.7105,0.3636,0.5203
62,0.754,0.8776,0.7479,0.3698,0.5138
63,0.8128,0.9367,0.8014,0.4006,0.5162
64,0.748,0.9367,0.7569,0.3799,0.5209
65,0.7988,0.9051,0.7058,0.3819,0.5147
66,0.8279,0.8869,0.7455,0.3912,0.5099
67,0.8061,0.8903,0.7269,0.3841,0.512
68,0.7998,0.95,0.7722,0.3965,0.519
69,0.7264,0.9332,0.7364,0.3703,0.5225
70,0.7319,0.8728,0.7151,0.3565,0.5158
71,0.6798,0.8842,0.7688,0.349,0.5201
72,0.8256,0.9286,0.7703,0.3992,0.5149
73,0.7182,0.9184,0.8047,0.3744,0.5199
74,0.7619,0.9127,0.7875,0.3836,0.5165
75,0.7315,0.9263,0.8084,0.3801,0.5198
76,0.8149,0.9592,0.8093,0.4045,0.5173
77,0.7265,0.9124,0.8023,0.3755,0.5186
78,0.6712,0.9481,0.7047,0.3503,0.5294
79,0.7418,0.8844,0.7204,0.3632,0.5161
80,0.7628,0.9277,0.7954,0.3871,0.5181
81,0.7292,0.948,0.7015,0.3691,0.5248
82,0.8091,0.8766,0.7286,0.3828,0.5101
83,0.7329,0.9131,0.7784,0.3743,0.5187
84,0.6913,0.913,0.7952,0.3635,0.5215
85,0.6782,0.9231,0.7866,0.3599,0.5239
86,0.6774,0.8983,0.7446,0.3474,0.5225
87,0.7867,0.945,0.7492,0.3904,0.5195
88,0.7314,0.9132,0.6951,0.3619,0.5208
89,0.7979,0.897,0.7839,0.3899,0.5123
90,0.7107,0.9513,0.7558,0.3717,0.5253
91,0.761,0.8817,0.7353,0.3709,0.514
92,0.7223,0.916,0.7429,0.3667,0.5207
93,0.7767,0.907,0.7913,0.387,0.5147
94,0.7727,0.9416,0.7628,0.388,0.5198
95,0.7649,0.9687,0.7475,0.3883,0.5238
96,0.7799,0.9254,0.781,0.3894,0.517
97,0.7911,0.8917,0.7695,0.3857,0.5124
98,0.7321,0.9364,0.7238,0.371,0.5227
99,0.7214,0.9653,0.7607,0.3779,0.526
100,0.7422,0.9547,0.7442,0.3798,0.5237
101,0.7423,0.884,0.6971,0.3596,0.5167
102,0.6756,0.9491,0.7219,0.3549,0.5287
103,0.7327,0.8842,0.7326,0.362,0.5165
104,0.7502,0.9347,0.7827,0.3834,0.52
105,0.6981,0.9589,0.746,0.3679,0.5273
106,0.7667,0.9284,0.7503,0.3829,0.5188
107,0.7354,0.9152,0.7188,0.3671,0.5201
108,0.7344,0.9381,0.7279,0.3725,0.5226
109,0.7302,0.9569,0.7428,0.3767,0.5248
110,0.8047,0.961,0.7776,0.3996,0.5199
111,0.821,0.8748,0.6959,0.3813,0.5098
112,0.7836,0.8892,0.7931,0.3862,0.5121
113,0.7544,0.8816,0.7386,0.3694,0.5144
114,0.7638,0.9687,0.7096,0.3836,0.5246
115,0.8161,0.9546,0.8057,0.4039,0.5174
116,0.6935,0.905,0.7004,0.3477,0.523
117,0.7322,0.9182,0.8022,0.3781,0.5189
118,0.7127,0.8882,0.801,0.3664,0.5169
119,0.7475,0.9575,0.7926,0.3876,0.5228
120,0.6988,0.9163,0.7252,0.3562,0.5231
121,0.8262,0.9592,0.6955,0.3954,0.5198
122,0.8025,0.8962,0.7236,0.3836,0.513
123,0.7947,0.8792,0.7289,0.3794,0.5114
124,0.747,0.9141,0.6967,0.3673,0.5197
125,0.7803,0.8891,0.7594,0.381,0.513
126,0.7008,0.9081,0.7396,0.3573,0.5216
127,0.7784,0.8997,0.7227,0.3775,0.5151
128,0.7643,0.9094,0.7957,0.3847,0.5158
129,0.8093,0.8704,0.7224,0.381,0.5095
130,0.8004,0.8825,0.7886,0.389,0.5103
131,0.7615,0.9507,0.8039,0.3912,0.5209
132,0.7234,0.8972,0.7869,0.3696,0.5174
133,0.7058,0.9677,0.7735,0.3755,0.5272
134,0.7156,0.9115,0.7652,0.3668,0.5201
135,0.7093,0.962,0.8053,0.3796,0.5256
136,0.7265,0.9325,0.7285,0.3691,0.5226
137,0.7049,0.8721,0.6924,0.3426,0.5188
138,0.7555,0.9261,0.6969,0.3721,0.5204
139,0.7479,0.8786,0.7422,0.3672,0.5145
140,0.7463,0.9685,0.7013,0.3779,0.5259
141,0.6862,0.953,0.8067,0.3714,0.5262
142,0.6991,0.8798,0.7076,0.3449,0.5196
143,0.7901,0.9313,0.7795,0.3925,0.5171
144,0.7734,0.9083,0.7517,0.3814,0.5159
145,0.7425,0.9612,0.7847,0.3859,0.5237
146,0.7484,0.9197,0.7887,0.3812,0.5182
147,0.6851,0.9181,0.7566,0.3567,0.5236
148,0.7792,0.9024,0.7523,0.3821,0.5148
149,0.7487,0.8827,0.7393,0.3679,0.5149
150,0.7115,0.9096,0.7571,0.3639,0.5205
151,0.8054,0.9213,0.7409,0.3904,0.5156
152,0.7322,0.9353,0.753,0.3747,0.5219
153,0.6727,0.8715,0.7772,0.3447,0.5191
154,0.7855,0.9112,0.6924,0.3774,0.5166
155,0.706,0.878,0.797,0.3614,0.5164
156,0.7673,0.9292,0.7421,0.3821,0.519
157,0.6708,0.9288,0.7765,0.357,0.5254
158,0.7289,0.875,0.7783,0.3657,0.5147
159,0.808,0.9223,0.7616,0.3934,0.5152
160,0.7362,0.9335,0.716,0.3705,0.5222
161,0.6821,0.8871,0.7716,0.3509,0.5201
162,0.7768,0.9182,0.7613,0.3851,0.5167
163,0.7767,0.9628,0.7538,0.391,0.5223
164,0.7261,0.9258,0.7912,0.3762,0.5204
165,0.6971,0.8832,0.6965,0.3431,0.5205
166,0.7025,0.9163,0.7759,0.3651,0.5215
167,0.798,0.9008,0.7157,0.3822,0.514
168,0.7711,0.9385,0.7331,0.3835,0.52
169,0.6745,0.9087,0.7694,0.3528,0.5231
170,0.6927,0.8909,0.7099,0.3457,0.5213
171,0.7637,0.9357,0.7425,0.3822,0.52
172,0.7474,0.9369,0.7303,0.3764,0.5215
